market,security,last_add,ticker,touches_defective_cell
China,YY INC ADR,Nov15,,False
China,ZHEJIANG CHINA A (HK-C),May21,301077.SZ,False
China,ZHEJIANG SATEL A (HK-C),May21,,False
China,ZHEJIANG SUPCON A (HK-C),Nov22,,False
China,ZHENGZHOU YUTON A (HK-C),May18,,False
China,ZHONGSHENG GROUP HLDGS                SHANG,Nov11,,False
China,ZHUZHOU CSR TIMES ELEC H,Nov10,,False
China,ZTO EXPRESS ADR A,Feb19,,False
HongKong,CITIC INT'L FINL HLDGS,Nov07,,False
HongKong,ESR CAYMAN,Nov20,,False
HongKong,HENDERSON INVESTMENT,Nov07,0097.HK,False
HongKong,HONGKONG LAND (USD),Nov15,,False
HongKong,INDL&COMM BK CHINA(ASIA),Nov10,,False
HongKong,JARDINE MATHESON (USD),Feb16,,False
HongKong,JARDINE STRATEGIC (USD),Feb17,,False
HongKong,MELCO CROWN ENTMT ADR,Nov15,,False
HongKong,WHEELOCK AND CO,Nov07,,False
HongKong,WING LUNG BANK,May08,,False
India,ADANI ENERGY SOLUTIONS,May26,ADANIENSOL.NS,False
India,ADITYA BIRLA NUVO,May07,,False
India,BAJAJ HLDGS & INVESTMENT,Nov22,,False
India,BHARTI INFRATEL,May15,,False
India,BOMBAY STOCK EXCHANGE,Nov24,,False
India,CAIRN INDIA,May12,,False
India,CENTURION BK OF PUNJAB,Feb08,,False
India,CUMMINS INDIA KIRLOSKAR,Aug23,,False
India,GMR AIRPORTS INFRA,Feb24,,False
India,GODREJ CONSUMER PDTS,May12,,False
India,ICICI LOMBARD GENL INS,May19,,False
India,IDEA CELLULAR,Nov11,,False
India,JINDAL STEEL & POWER,May22,,False
India,L AND T FINANCE,Feb26,,False
India,LARSEN AND TOUBRO INFO,Nov20,,False
India,M & M FIN SECS,Aug13,,False
India,MACROTECH DEVELOPERS,Nov23,,False
India,MINDTREE,Nov21,,False
India,MOTHERSON SUMI SYSTEMS,Nov14,,False
India,MULTI CMDTY EXCH INDIA,May26,,False
India,MUNDRA PORT AND SEZ,May11,,False
India,ORACLE FINL SVCS SOFTW,Aug24,,False
India,PIRAMAL HEALTHCARE,May10,,False
India,RELIANCE PETROLEUM,Feb08,,False
India,RURAL ELECTRIFICATION CO,May17,,False
India,SATYAM COMPUTER SERVICES,Aug09,,False
India,SESA GOA,Nov08,,False
India,STERLITE INDUSTRIES,Nov07,,False
India,TITAN INDUSTRIES,May11,,False
India,TUBE INVESTMENT (NEW),Nov22,,False
India,ZOMATO,Nov21,,False
Indonesia,ADARO ENERGY PT,Nov09,,False
Indonesia,BANK INT'L INDONESIA,May08,,False
Japan,AIOI INSURANCE,Nov07,,False
Japan,ALPS ELECTRIC CO,Aug15,,False
Japan,DAIHATSU MOTOR CO,Nov07,,False
Japan,DAINIPPON SUMITOMO PHARM,Nov07,,False
Japan,DON QUIJOTE CO,Nov12,,False
Japan,FUJI HEAVY INDUSTRIES,Nov07,,False
